id,plugin,channels,irlen,spl,measure,screenshot,X,time,elapsed,remaining
1,MODOld,16,100ms,256,1,Screenshot (378).png),13.9,00:21,elapsed:,remaining:
1,MODOld,16,100ms,256,1,Screenshot (379).png),13.9,00:21,elapsed:,remaining:
2,MODOld,16,200ms,256,1,Screenshot (380).png),8.8,00:34,elapsed:,remaining:
2,MODOld,16,200ms,256,1,Screenshot (381).png),8.8,00:34,elapsed:,remaining:
3,MODOld,16,500ms,256,1,Screenshot (382).png),4.3,01:10,elapsed:,remaining:
3,MODOld,16,500ms,256,1,Screenshot (383).png),4.3,01:10,elapsed:,remaining:
4,MODOld,16,1s,256,1,Screenshot (384).png),2.3,02:12,elapsed:,remaining:
4,MODOld,16,1s,256,1,Screenshot (385).png),2.3,02:12,elapsed:,remaining:
5,MODOld,16,2s,256,1,Screenshot (386).png),1.1,00:27,elapsed:,remaining:
5,MODOld,16,2s,256,1,Screenshot (387).png),1.1,00:27,elapsed:,remaining:
6,MODOld,16,5s,256,1,Screenshot (388).png),0.4,time:,00:09,00:57
6,MODOld,16,5s,256,1,Screenshot (389).png),0.4,time:,00:09,00:57
7,MODOld,16,10s,256,1,Screenshot (390).png),0.2,time:,00:17,02:15
7,MODOld,16,10s,256,1,Screenshot (391).png),0.2,time:,00:17,02:15
8,MODOld,36,100ms,256,1,Screenshot (392).png),6.5,00:04,elapsed:,remaining:
8,MODOld,36,100ms,256,1,Screenshot (393).png),6.5,00:04,elapsed:,remaining:
9,MODOld,36,200ms,256,1,Screenshot (394).png),4.1,00:07,elapsed:,remaining:
9,MODOld,36,200ms,256,1,Screenshot (395).png),4.1,00:07,elapsed:,remaining:
10,MODOld,36,500ms,256,1,Screenshot (396).png),1.9,00:15,elapsed:,remaining:
10,MODOld,36,500ms,256,1,Screenshot (397).png),1.9,00:15,elapsed:,remaining:
11,MODOld,36,1s,256,1,Screenshot (398).png),1.0,00:30,elapsed:,remaining:
11,MODOld,36,1s,256,1,Screenshot (399).png),1.0,00:30,elapsed:,remaining:
12,MODOld,36,2s,256,1,Screenshot (400).png),0.5,time:,00:19,00:40
12,MODOld,36,2s,256,1,Screenshot (401).png),0.5,time:,00:21,00:37
13,MODOld,36,5s,256,1,Screenshot (402).png),0.2,time:,00:07,02:24
13,MODOld,36,5s,256,1,Screenshot (403).png),0.2,time:,00:07,02:24
14,MODOld,36,10s,256,1,Screenshot (404).png),0.1,time:,01:01,04:31
14,MODOld,36,10s,256,1,Screenshot (405).png),0.1,time:,01:01,04:31
15,MODOld,64,100ms,256,1,Screenshot (406).png),3.7,00:08,elapsed:,remaining:
15,MODOld,64,100ms,256,1,Screenshot (407).png),3.7,00:08,elapsed:,remaining:
16,MODOld,64,200ms,256,1,Screenshot (408).png),2.3,00:13,elapsed:,remaining:
16,MODOld,64,200ms,256,1,Screenshot (409).png),2.3,00:13,elapsed:,remaining:
17,MODOld,64,500ms,256,1,Screenshot (410).png),1.1,00:28,elapsed:,remaining:
17,MODOld,64,500ms,256,1,Screenshot (411).png),1.1,00:28,elapsed:,remaining:
18,MODOld,64,1s,256,1,Screenshot (412).png),0.5,time:,00:07,00:48
18,MODOld,64,1s,256,1,Screenshot (413).png),0.5,time:,00:07,00:48
19,MODOld,64,2s,256,1,Screenshot (414).png),0.3,time:,00:04,01:40
19,MODOld,64,2s,256,1,Screenshot (415).png),0.3,time:,00:04,01:40
20,MODOld,64,5s,256,1,Screenshot (416).png),0.1,time:,00:18,04:07
20,MODOld,64,5s,256,1,Screenshot (417).png),0.1,time:,00:18,04:07
21,MODOld,64,10s,256,1,Screenshot (418).png),0.1,time:,00:30,03:54
21,MODOld,64,10s,256,1,Screenshot (419).png),0.1,time:,00:30,03:54